timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
2593212623,0.0545909,0.126933,-0.0328179,-0.997193,-0.00186493,0.0223258,-0.071444
2593240617,0.0360336,0.15081,-0.0346273,-0.997284,-0.00234159,0.0202639,-0.070772
2593272634,0.0395157,0.154686,-0.0323265,-0.997381,-0.00266325,0.0177293,-0.0700635
2593304641,0.0480202,0.140428,-0.0337312,-0.997469,-0.00310965,0.0152785,-0.0693702
2593336654,0.0481113,0.141558,-0.0360484,-0.997552,-0.00373963,0.0128845,-0.0686327
2593368640,0.032789,0.116883,-0.029562,-0.997625,-0.00415186,0.0108252,-0.0678936
2593400636,0.0419092,0.0712376,-0.0255156,-0.997683,-0.00464766,0.00943123,-0.0672195
2593432634,0.0129541,0.0317964,-0.0257521,-0.997734,-0.00500351,0.00863085,-0.0665441
2593464627,-0.000787146,0.0045687,-0.0288192,-0.997778,-0.0050413,0.00838746,-0.065906
2593492655,-0.00585901,-0.0145609,-0.0300235,-0.997814,-0.00493308,0.00854571,-0.0653443
2593524642,0.00245714,-0.0243432,-0.0209971,-0.997849,-0.00487027,0.00887904,-0.0647619
2593556618,0.0233536,-0.0342867,-0.013342,-0.997875,-0.00509317,0.00936556,-0.0642838
2593588635,0.00283296,-0.0473567,-0.00849174,-0.997894,-0.00533894,0.0101343,-0.0638422
2593620634,-0.0244692,-0.0486878,-0.00741448,-0.997908,-0.00519148,0.0108652,-0.0635144
2593650276,-0.0316489,-0.0263086,-0.00202617,-0.99792,-0.00472391,0.0115172,-0.063248
2593682221,-0.0145541,-0.0112047,-0.000198101,-0.997929,-0.0042837,0.0119621,-0.0630563
2593714222,0.00867685,0.00143371,0.00695779,-0.997935,-0.00435315,0.0120018,-0.0629534
2593746250,0.011626,0.0124163,0.0087644,-0.997942,-0.00450223,0.0117644,-0.062879
2593778248,0.00800757,0.022081,0.0147945,-0.997944,-0.00460216,0.0113641,-0.0629101
2593810224,-0.00251739,0.021809,0.016769,-0.997945,-0.00468381,0.0110187,-0.0629466
2593842222,0.00503922,0.0296537,0.0161898,-0.997944,-0.00465661,0.0105233,-0.0630487
2593874227,0.0165252,0.0272386,0.0180666,-0.997943,-0.00476156,0.00992611,-0.0631554
2593902247,-0.00933287,0.02447,0.0132829,-0.997942,-0.00477854,0.00944947,-0.063242
2593934253,-0.0156217,-0.00141126,0.0153611,-0.99794,-0.00457791,0.00923462,-0.0633148
2593970259,-0.00658283,-0.0138837,0.020079,-0.997932,-0.0042979,0.00943359,-0.0634377
2594002231,0.00663461,-0.0417794,0.0144506,-0.997924,-0.0043794,0.0100007,-0.0634703
2594034215,-0.0132966,-0.0562618,0.00929491,-0.997917,-0.00427261,0.0108736,-0.063446
2594066224,-0.00124912,-0.065258,0.00694434,-0.997912,-0.00410686,0.0118635,-0.0633603
2594094242,0.0217604,-0.0561191,0.00516047,-0.997904,-0.00437586,0.0127606,-0.0632976
2594130243,0.051522,-0.071911,0.000633254,-0.997894,-0.0052842,0.013853,-0.0631487
2594162225,0.0461324,-0.0628321,-0.00106637,-0.997887,-0.00613988,0.0147862,-0.0629691
2594194242,0.0475174,-0.0309882,6.42019e-05,-0.997884,-0.00695887,0.0153866,-0.0627941
2594226242,0.0380941,0.00850958,-0.0068639,-0.997896,-0.00754247,0.0154492,-0.0625216
2594258245,0.123429,0.0987012,-0.0122933,-0.997923,-0.00857764,0.0144563,-0.0621892
2594290225,0.260362,0.204431,-0.0177947,-0.997953,-0.0117598,0.011589,-0.0617827
2594322227,0.292842,0.285979,-0.0257342,-0.997968,-0.0160529,0.00717154,-0.0612372
2594350242,0.267702,0.339125,-0.0338955,-0.99796,-0.0195889,0.00233171,-0.060719
2594382248,0.256364,0.344365,-0.0463865,-0.997916,-0.0233985,-0.00330022,-0.0600401
2594414242,0.189872,0.315546,-0.0568696,-0.997856,-0.0264986,-0.00886106,-0.0591764
2594446256,0.127528,0.271644,-0.0642888,-0.997808,-0.0284902,-0.0137599,-0.0581226
2594478216,0.0784973,0.217521,-0.069517,-0.997777,-0.0297317,-0.0176481,-0.0569797
2594510243,0.0507727,0.162032,-0.0729835,-0.997769,-0.0304588,-0.0206459,-0.055707
2594542245,-0.0309808,0.0887108,-0.0770544,-0.997803,-0.0303377,-0.0224988,-0.0544231
2594570227,-0.125505,-0.00548694,-0.0764722,-0.997906,-0.0288731,-0.0228932,-0.0531535
2594602225,-0.227261,-0.124111,-0.0819848,-0.99809,-0.0258973,-0.021476,-0.0518051
2594634241,-0.27119,-0.227358,-0.0837388,-0.99833,-0.0218281,-0.0182048,-0.0502942
2594666242,-0.300716,-0.29597,-0.0946238,-0.998574,-0.0173817,-0.0135738,-0.0486135
2594698243,-0.310688,-0.323446,-0.104892,-0.998793,-0.012563,-0.008259,-0.0467697
2594730244,-0.210946,-0.305114,-0.104077,-0.998955,-0.00844093,-0.00284202,-0.0448314
2594759821,-0.0736549,-0.218572,-0.106437,-0.999047,-0.00670928,0.00099472,-0.0431122
2594791839,0.0426545,-0.091945,-0.108474,-0.999125,-0.00671516,0.003444,-0.0411383
2594823823,0.131005,0.0308966,-0.106758,-0.999188,-0.00817457,0.00370369,-0.0392888
2594855854,0.172052,0.118089,-0.112414,-0.999241,-0.0105215,0.00236148,-0.0374399
2594887817,0.198676,0.168092,-0.110649,-0.999274,-0.0134023,-0.000116119,-0.0356571
2594919813,0.207666,0.204282,-0.105087,-0.999283,-0.0165172,-0.00336162,-0.0339067
2594951816,0.222969,0.194443,-0.105904,-0.999263,-0.0198303,-0.00689297,-0.0321457
2594979812,0.222188,0.124722,-0.103047,-0.999227,-0.0227996,-0.00923538,-0.0306688
2595011815,0.198303,0.0492585,-0.104052,-0.999181,-0.0261741,-0.0107603,-0.0289175
2595043845,0.111416,0.00419885,-0.105737,-0.999167,-0.0283071,-0.0111462,-0.0272002
2595075846,0.0637631,-0.0276835,-0.105612,-0.999182,-0.029492,-0.0108929,-0.025435
2595107817,0.0426835,-0.0416731,-0.0942421,-0.999211,-0.0301466,-0.0102334,-0.0237361
2595139851,-0.0390895,-0.0122189,-0.0983167,-0.999256,-0.0300847,-0.0096389,-0.0221126
2595171823,-0.133635,0.0445748,-0.0942416,-0.999336,-0.0284419,-0.00991732,-0.0205095
2595203834,-0.15178,0.0820824,-0.0902897,-0.999422,-0.0259484,-0.0110177,-0.0190029
2595231870,-0.125734,0.104239,-0.0963851,-0.999483,-0.0238302,-0.0124906,-0.0176339
2595263833,-0.0807046,0.122821,-0.0953287,-0.999523,-0.0221662,-0.0142339,-0.0161178
2595295826,-0.0603622,0.135766,-0.0962815,-0.999545,-0.020889,-0.016173,-0.0145662
2595327834,-0.0863937,0.122706,-0.0972923,-0.999559,-0.0196117,-0.0181201,-0.0129712
2595359851,-0.103824,0.0810081,-0.098873,-0.99958,-0.0179444,-0.0196888,-0.0114443
2595391834,-0.08748,0.0480738,-0.0965806,-0.999602,-0.0163247,-0.0207672,-0.00992257
2595423821,-0.0513084,0.0135549,-0.0887003,-0.999627,-0.0151873,-0.0210725,-0.00848363
2595455841,-0.0165816,-0.0272677,-0.0829823,-0.999653,-0.0145931,-0.020764,-0.00701981
2595483832,0.00902995,-0.0303142,-0.0709782,-0.999672,-0.0144729,-0.0202551,-0.00594186
2595515840,0.0131657,-0.0351442,-0.0626692,-0.999689,-0.0146228,-0.0196062,-0.00484091
2595547817,-0.0367508,-0.0236703,-0.0630607,-0.999707,-0.0143615,-0.0191228,-0.00385773
2595579835,-0.0532046,-0.0137249,-0.0523521,-0.999728,-0.0135582,-0.0187336,-0.00293069
