timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature
2575559433,0,2839.16,2857.01,-1000.0
2575607607,0,2871.39,2863.17,-1000.0
2575667522,0,2882.67,2868.33,-1000.0
2575715437,0,2871.39,2865.73,-1000.0
2575775452,0,2876.22,2858.03,-1000.0
2575825096,0,2829.49,2851.68,-1000.0
2575873152,0,2853.66,2850.51,-1000.0
2575933026,0,2824.66,2839.44,-1000.0
2575982629,0,2821.44,2833.67,-1000.0
2576029130,0,2842.38,2831.79,-1000.0
2576089240,0,2839.16,2833.75,-1000.0
2576137499,0,2842.38,2835.37,-1000.0
2576185148,0,2837.55,2832.33,-1000.0
2576244987,0,2832.71,2832.32,-1000.0
2576293181,0,2834.33,2829.86,-1000.0
2576353135,0,2853.66,2839.7,-1000.0
2576401183,0,2850.44,2842.16,-1000.0
2576449123,0,2834.33,2839.86,-1000.0
2576509257,0,2832.71,2840.82,-1000.0
2576557113,0,2819.82,2840.07,-1000.0
2576605389,0,2835.94,2842.68,-1000.0
2576665154,0,2860.11,2845.28,-1000.0
2576713792,0,2843.99,2843.6,-1000.0
2576761041,0,2839.16,2839.95,-1000.0
2576821167,0,2829.49,2834.38,-1000.0
2576869595,0,2839.16,2834.03,-1000.0
2576916958,0,2843.99,2837.52,-1000.0
2576978724,0,2853.66,2829.93,-1000.0
2577026981,0,2847.22,2831.83,-1000.0
2577075231,0,2823.05,2830.99,-1000.0
2577134781,0,2853.66,2837.27,-1000.0
2577182695,0,2840.77,2836.09,-1000.0
2577230735,0,2802.1,2836.06,-1000.0
2577290757,0,2818.21,2834.74,-1000.0
2577338956,0,2869.78,2838.16,-1000.0
2577386753,0,2864.94,2842.35,-1000.0
2577447084,0,2879.44,2854.56,-1000.0
2577495546,0,2884.28,2863.35,-1000.0
2577555110,0,2885.89,2869.05,-1000.0
2577602670,0,2874.61,2875.31,-1000.0
2577650778,0,2890.72,2880.03,-1000.0
2577710647,0,2903.61,2889.45,-1000.0
2577758797,0,2926.17,2896.25,-1000.0
2577806665,0,2884.28,2897.18,-1000.0
2577866711,0,2885.89,2898.89,-1000.0
2577915755,0,2905.22,2898.37,-1000.0
2577962763,0,2900.39,2899.58,-1000.0
2578022644,0,2890.72,2896.68,-1000.0
2578072256,0,2921.34,2900.18,-1000.0
2578120706,0,2903.61,2896.89,-1000.0
2578180239,0,2890.72,2899.16,-1000.0
2578228460,0,2890.72,2901.14,-1000.0
2578288440,0,2884.28,2904.14,-1000.0
2578336775,0,2919.73,2906.39,-1000.0
2578384330,0,2927.78,2910.83,-1000.0
2578444192,0,2918.12,2912.4,-1000.0
