timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
2761456061,65.9865,69.7019,69.7833,47.7,1.0
2761467495,66.0122,69.7311,69.9744,47.7,1.0
2761479523,65.9715,69.688,69.2999,47.7,1.0
2761491457,65.9667,69.694,69.649,47.7,1.0
2761503441,65.9864,69.7028,69.8894,47.7,1.0
2761516593,65.9961,69.713,69.8053,47.7,1.0
2761527440,66.0069,69.726,69.828,47.69,1.0
2761539454,66.0424,69.7663,70.1035,47.69,1.0
2761551376,66.0286,69.7542,69.6227,47.69,1.0
2761563496,66.0221,69.7498,69.6883,47.7,1.0
2761576713,66.0223,69.7421,69.7436,47.7,1.0
2761587643,66.0583,69.7846,70.1259,47.7,1.0
2761599405,66.0648,69.7914,69.8533,47.7,1.0
2761611399,66.0348,69.7567,69.4709,47.7,1.0
2761623443,66.0297,69.7489,69.7005,47.7,1.0
2761636894,66.0331,69.7687,69.8009,47.7,1.0
2761647489,66.0461,69.7824,69.906,47.7,1.0
2761659610,66.0439,69.7665,69.7453,47.7,1.0
2761671944,66.0279,69.7521,69.6003,47.7,1.0
2761683446,66.0335,69.758,69.8109,47.7,1.0
2761696560,66.0425,69.7824,69.8678,47.7,1.0
2761707467,66.0346,69.7551,69.6804,47.7,1.0
2761719445,66.0554,69.7881,69.9858,47.7,1.0
2761731491,66.0582,69.791,69.8178,47.7,1.0
2761743484,66.0568,69.7781,69.7644,47.7,1.0
2761756917,66.0395,69.779,69.6147,47.7,1.0
2761767626,66.034,69.773,69.7202,47.7,1.0
2761779427,66.029,69.7591,69.7115,47.7,1.0
2761791540,66.0563,69.7777,70.0373,47.7,1.0
2761803499,66.0431,69.7765,69.6507,47.7,1.0
2761817224,66.0471,69.7807,69.8192,47.7,1.0
2761827592,66.0548,69.7763,69.8488,47.69,1.0
2761839538,66.0596,69.7811,69.8273,47.69,1.0
2761851504,66.068,69.7899,69.8694,47.69,1.0
2761863469,66.0795,69.8008,69.91,47.7,1.0
2761876885,66.0938,69.8325,69.9687,47.7,1.0
2761887893,66.1167,69.8411,70.0579,47.7,1.0
2761899549,66.1153,69.8397,69.827,47.7,1.0
2761911735,66.1619,69.8885,70.3293,47.7,1.0
2761923444,66.1878,69.9328,70.1792,47.7,1.0
2761936787,66.1814,69.9125,69.8512,47.7,1.0
2761947429,66.1935,69.9253,70.0401,47.7,1.0
2761959620,66.1864,69.9304,69.8636,47.7,1.0
2761971599,66.2,69.9325,70.0613,47.7,1.0
2761983469,66.2519,69.9874,70.4791,47.7,1.0
2761996681,66.251,69.9836,69.9747,47.69,1.0
2762007396,66.2283,69.9593,69.7432,47.69,1.0
2762019740,66.2377,69.9889,70.0779,47.69,1.0
2762031595,66.2382,69.9894,69.9941,47.69,1.0
2762043531,66.2842,70.0208,70.4576,47.7,1.0
2762056878,66.2682,70.008,69.8549,47.7,1.0
2762067453,66.2616,70.0011,69.939,47.7,1.0
2762079526,66.2617,70.0005,70.0012,47.7,1.0
2762091583,66.2717,70.0059,70.1008,47.7,1.0
2762103512,66.3105,70.0517,70.419,47.7,1.0
2762115433,66.3136,70.0549,70.0847,47.7,1.0
2762127528,66.3184,70.0579,70.1035,47.69,1.0
2762139473,66.3247,70.0625,70.1224,47.69,1.0
2762151576,66.3204,70.0574,70.017,47.69,1.0
2762163549,66.3424,70.0805,70.289,47.69,1.0
2762175494,66.3522,70.0899,70.1835,47.69,1.0
2762187422,66.3671,70.1056,70.2461,47.69,1.0
2762199428,66.3744,70.1174,70.1876,47.69,1.0
2762211590,66.3811,70.1241,70.1872,47.69,1.0
2762223453,66.4128,70.1722,70.4733,47.69,1.0
2762237837,66.4453,70.1899,70.4981,47.69,1.0
2762251956,66.433,70.1772,70.0599,47.69,1.0
2762263477,66.4456,70.1913,70.3116,47.69,1.0
2762275545,66.455,70.2016,70.2911,47.69,1.0
2762287583,66.4714,70.2189,70.3745,47.69,1.0
2762299655,66.4961,70.2452,70.4791,47.69,1.0
2762311436,66.4846,70.2311,70.1221,47.69,1.0
2762323595,66.4842,70.2331,70.2291,47.69,1.0
2762336978,66.4779,70.2257,70.1656,47.69,1.0
2762347523,66.5019,70.2452,70.4728,47.69,1.0
2762359898,66.4898,70.2383,70.1238,47.69,1.0
2762371848,66.481,70.229,70.1447,47.69,1.0
2762383440,66.4413,70.1829,69.8049,47.69,1.0
2762395401,66.4175,70.164,69.9372,47.69,1.0
2762407482,66.4337,70.1776,70.3314,47.69,1.0
2762419579,66.4344,70.1784,70.1851,47.69,1.0
2762431480,66.441,70.1968,70.2593,47.69,1.0
2762443470,66.4627,70.209,70.4155,47.69,1.0
2762455494,66.4645,70.2108,70.2277,47.69,1.0
