timestamp,voltage5V_v,usb_connected,brick_valid,servo_valid,periph_5V_OC,hipower_5V_OC
616904818,4.84526,0,1,0,0,0
617204819,4.92744,0,1,0,0,0
617504820,4.88232,0,1,0,0,0
617804771,4.93389,0,1,0,0,0
618114775,4.95483,0,1,0,0,0
618414773,4.93711,0,1,0,0,0
618714787,4.91938,0,1,0,0,0
619014773,4.93711,0,1,0,0,0
619314815,4.93389,0,1,0,0,0
619614773,4.90649,0,1,0,0,0
619914773,4.94033,0,1,0,0,0
620214771,4.91777,0,1,0,0,0
620514773,4.84526,0,1,0,0,0
620814773,4.90811,0,1,0,0,0
621124795,4.87588,0,1,0,0,0
621424816,4.89844,0,1,0,0,0
621724801,4.92422,0,1,0,0,0
622024789,4.91777,0,1,0,0,0
622324784,4.87427,0,1,0,0,0
622624808,4.90327,0,1,0,0,0
622924815,4.89038,0,1,0,0,0
623224775,4.89683,0,1,0,0,0
623524793,4.90005,0,1,0,0,0
623824803,4.90166,0,1,0,0,0
624134773,4.94194,0,1,0,0,0
624434773,4.90811,0,1,0,0,0
624734773,4.92422,0,1,0,0,0
625034816,4.9645,0,1,0,0,0
625334773,4.92261,0,1,0,0,0
625634773,4.94194,0,1,0,0,0
625934773,4.95322,0,1,0,0,0
626234773,4.92261,0,1,0,0,0
626534778,4.94355,0,1,0,0,0
626834773,4.91133,0,1,0,0,0
627144816,4.90166,0,1,0,0,0
627444788,4.89844,0,1,0,0,0
627744796,4.94839,0,1,0,0,0
628044822,4.92261,0,1,0,0,0
628344790,4.89844,0,1,0,0,0
628644795,4.90972,0,1,0,0,0
628944805,4.87588,0,1,0,0,0
629244843,4.8936,0,1,0,0,0
629544817,4.90811,0,1,0,0,0
629844832,4.90649,0,1,0,0,0
630144825,4.921,0,1,0,0,0
630454773,4.93872,0,1,0,0,0
630754814,4.92422,0,1,0,0,0
631054773,4.91133,0,1,0,0,0
631354773,4.94033,0,1,0,0,0
631654773,4.94517,0,1,0,0,0
631954774,4.91455,0,1,0,0,0
632254773,4.93711,0,1,0,0,0
632554773,4.88394,0,1,0,0,0
632854799,4.90327,0,1,0,0,0
633164811,4.92261,0,1,0,0,0
633464797,4.96772,0,1,0,0,0
633764816,4.92905,0,1,0,0,0
634064817,4.91777,0,1,0,0,0
634364827,4.94033,0,1,0,0,0
634664785,4.92583,0,1,0,0,0
634964777,4.97256,0,1,0,0,0
635264811,4.92744,0,1,0,0,0
635564811,4.93711,0,1,0,0,0
635864817,4.97739,0,1,0,0,0
636174774,4.93389,0,1,0,0,0
636474815,4.94355,0,1,0,0,0
636774773,4.94033,0,1,0,0,0
637074773,4.9355,0,1,0,0,0
637374773,4.93066,0,1,0,0,0
637674773,4.94355,0,1,0,0,0
637974773,4.91616,0,1,0,0,0
638274775,4.93066,0,1,0,0,0
638574774,4.90488,0,1,0,0,0
638884817,4.93389,0,1,0,0,0
639184823,4.94678,0,1,0,0,0
639484795,4.91133,0,1,0,0,0
639784800,4.93872,0,1,0,0,0
640084816,4.93389,0,1,0,0,0
640384815,4.9355,0,1,0,0,0
640684815,4.91616,0,1,0,0,0
640984815,4.95,0,1,0,0,0
641884797,4.96934,0,1,0,0,0
642194814,5.00962,0,1,0,0,0
642494781,4.91777,0,1,0,0,0
642794783,4.979,0,1,0,0,0
643094773,5.02895,0,1,0,0,0
643394775,5.03057,0,1,0,0,0
643694773,5.03057,0,1,0,0,0
