timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
590354342,-0.044918,-0.0353758,0.0582553,0.004001,0,-0.0806254,0.397164,-10.0243,0.004001,-6399,-0.406252,0.0298147,0.133876,-2010,51.2352,49.31
590358347,-0.0410993,-0.0626273,0.0553795,0.004005,0,-0.131583,0.297133,-9.67952,0.004005,-8,-0.423136,0.00641367,0.12385,-6015,51.2352,49.31
590362375,-0.0515975,-0.0371661,0.0633795,0.004028,0,-0.166164,0.439131,-9.87,0.004028,-4036,-0.423136,0.00641367,0.12385,-10043,51.2352,49.31
590366341,-0.0331762,-0.0530455,0.0639033,0.003966,0,-0.129716,0.124391,-9.70234,0.003966,-8002,-0.423136,0.00641367,0.12385,-3391,52.9088,49.31
590370342,-0.0673703,-0.051011,0.0655763,0.004001,0,-0.105813,0.395291,-10.044,0.004001,-2400,-0.417428,0.0234485,0.133679,-7392,52.9088,49.31
590374342,-0.0230167,-0.0477256,0.0622824,0.004,0,-0.212499,0.214522,-9.70912,0.004,-6400,-0.417428,0.0234485,0.133679,-11392,52.9088,49.31
590378349,-0.0663143,-0.0359709,0.0694422,0.004007,0,-0.10972,0.244425,-9.8634,0.004007,-8,-0.411895,0.0444223,0.129312,-15399,52.9088,49.31
590382389,-0.0205354,-0.0713802,0.0639713,0.00404,0,-0.0863809,0.311663,-9.62301,0.00404,-4048,-0.411895,0.0444223,0.129312,-19439,52.9088,49.31
590386341,-0.0554356,-0.0232953,0.0732088,0.003952,0,-0.226119,0.186166,-10.0785,0.003952,-8000,-0.411895,0.0444223,0.129312,-1294,49.3118,49.31
590390381,-0.0360057,-0.0730081,0.0671464,0.00404,0,-0.0788658,0.468899,-9.69541,0.00404,-2439,-0.397054,0.0286956,0.1247,-5334,49.3118,49.31
590394341,-0.0451276,-0.0262706,0.076569,0.00396,0,-0.136718,0.285346,-9.87284,0.00396,-6399,-0.397054,0.0286956,0.1247,-9294,49.3118,49.31
590398347,-0.0425017,-0.0639184,0.0739185,0.004006,0,-0.0892614,0.234536,-9.80279,0.004006,-8,-0.378032,0.0333611,0.157122,-2329,51.2352,49.31
590402360,-0.0559647,-0.0525036,0.0781642,0.004013,0,-0.204294,0.250082,-10.0962,0.004013,-4021,-0.378032,0.0333611,0.157122,-6342,51.2352,49.31
590406387,-0.0469898,-0.0436113,0.077476,0.004027,0,-0.144323,0.372334,-9.80955,0.004027,-8048,-0.378032,0.0333611,0.157122,-10369,51.2352,49.31
590410342,-0.0484101,-0.0424564,0.081856,0.003955,0,-0.0989865,0.0969185,-9.88074,0.003955,-2400,-0.387766,0.0303816,0.122874,-3134,52.8252,49.31
590414342,-0.0610756,-0.0653226,0.0763415,0.004,0,-0.12208,0.343876,-9.81844,0.004,-6400,-0.387766,0.0303816,0.122874,-7134,52.8252,49.31
590418347,-0.0337399,-0.0283524,0.0813572,0.004005,0,-0.274909,0.21247,-10.0469,0.004005,-8,-0.37686,0.0315154,0.101192,-11139,52.8252,49.31
590422342,-0.0742182,-0.0559493,0.0825401,0.003995,0,-0.0857895,0.437998,-9.78233,0.003995,-4003,-0.37686,0.0315154,0.101192,-15134,52.8252,49.31
590426379,-0.0154396,-0.036078,0.0847574,0.004037,0,-0.156653,0.283354,-9.84447,0.004037,-8040,-0.37686,0.0315154,0.101192,-19171,52.8252,49.31
590430356,-0.0746825,-0.0406095,0.0857755,0.003977,0,-0.190254,0.214294,-9.78825,0.003977,-2407,-0.398851,0.0268205,0.130026,-1018,53.4941,49.31
590434342,-0.0244466,-0.053417,0.0877525,0.003986,0,-0.105077,0.557567,-10.0341,0.003986,-6393,-0.398851,0.0268205,0.130026,-5004,53.4941,49.31
590438347,-0.0538797,-0.0280181,0.0945439,0.004005,0,-0.213512,0.134366,-9.79631,0.004005,-8,-0.400506,0.0371112,0.146793,-9009,53.4941,49.31
