timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
573776182,573771941,-0.00953744,0.0430972,-0.0884972,0.598201,0.0,0.0,0.0,-1.0
573876248,573871949,-0.0104068,0.0279582,-0.0634815,0.599976,0.0,0.0,0.0,-1.0
573980242,573976009,-0.0124525,0.0383142,-0.0698212,0.608993,0.0,0.0,0.0,-1.0
574081051,574076826,-0.00648801,0.045756,-0.0540977,0.610505,0.0,0.0,0.0,-1.0
574180926,574176759,-0.000128593,0.0464331,-0.0524259,0.608296,0.0,0.0,0.0,-1.0
574285029,574280744,-0.0123374,0.0371704,-0.0697572,0.603985,0.0,0.0,0.0,-1.0
574385732,574381541,0.000979006,0.0358916,-0.0684201,0.604889,0.0,0.0,0.0,-1.0
574485732,574481564,0.0225377,0.0392618,-0.074029,0.609089,0.0,0.0,0.0,-1.0
574585689,574581551,0.0258511,0.0425733,-0.0507321,0.610127,0.0,0.0,0.0,-1.0
574690527,574686344,-0.0039062,0.0369808,-0.0676028,0.60864,0.0,0.0,0.0,-1.0
574790526,574786343,0.00242256,0.0352614,-0.065284,0.610002,0.0,0.0,0.0,-1.0
574890573,574886383,0.020387,0.0334359,-0.0580434,0.611843,0.0,0.0,0.0,-1.0
574995328,574991170,0.0179201,0.0295139,-0.0483285,0.614496,0.0,0.0,0.0,-1.0
575095385,575091155,0.0136228,0.0322897,-0.0291803,0.619149,0.0,0.0,0.0,-1.0
575199552,575195191,0.00850422,0.0285905,-0.0348248,0.617454,0.0,0.0,0.0,-1.0
575300187,575295978,0.01255,0.024497,-0.0256839,0.6174,0.0,0.0,0.0,-1.0
575400099,575395975,-0.003608,0.0128846,-0.021268,0.620215,0.0,0.0,0.0,-1.0
575500101,575495947,0.0175246,0.0252754,-0.0179622,0.622528,0.0,0.0,0.0,-1.0
575600904,575596741,0.0181589,0.0359775,-0.0182014,0.620345,0.0,0.0,0.0,-1.0
575705058,575700742,0.00898213,0.0287405,-0.0224782,0.616713,0.0,0.0,0.0,-1.0
575804984,575800743,0.0117215,0.0356159,-0.0232408,0.615365,0.0,0.0,0.0,-1.0
575905091,575900780,0.00723423,0.0311219,-0.00599646,0.618186,0.0,0.0,0.0,-1.0
576010907,576005542,0.00292602,0.0334514,-0.0176529,0.61809,0.0,0.0,0.0,-1.0
576109737,576105541,0.00716081,0.0357154,-0.0118847,0.611366,0.0,0.0,0.0,-1.0
