timestamp,min_distance,max_distance,current_distance,covariance,type,id,orientation
1083000967,0.01,120.0,1.03,0.0,0,0,8
1083052428,0.01,120.0,0.88,0.0,0,0,8
1083104366,0.01,120.0,0.67,0.0,0,0,8
1083154766,0.01,120.0,1.1,0.0,0,0,8
1083205733,0.01,120.0,1.16,0.0,0,0,8
1083255655,0.01,120.0,0.86,0.0,0,0,8
1083306691,0.01,120.0,1.27,0.0,0,0,8
1083358262,0.01,120.0,0.9,0.0,0,0,8
1083412177,0.01,120.0,0.9,0.0,0,0,8
1083462097,0.01,120.0,0.66,0.0,0,0,8
1083512412,0.01,120.0,0.75,0.0,0,0,8
1083562995,0.01,120.0,0.86,0.0,0,0,8
1083614086,0.01,120.0,1.0,0.0,0,0,8
1083663642,0.01,120.0,0.29,0.0,0,0,8
1083714670,0.01,120.0,1.1,0.0,0,0,8
1083764641,0.01,120.0,0.97,0.0,0,0,8
1083815682,0.01,120.0,1.23,0.0,0,0,8
1083866506,0.01,120.0,1.02,0.0,0,0,8
1083916644,0.01,120.0,0.83,0.0,0,0,8
1083967727,0.01,120.0,0.99,0.0,0,0,8
1084018530,0.01,120.0,0.99,0.0,0,0,8
1084069918,0.01,120.0,1.02,0.0,0,0,8
1084119676,0.01,120.0,1.26,0.0,0,0,8
1084172082,0.01,120.0,0.77,0.0,0,0,8
1084222054,0.01,120.0,1.09,0.0,0,0,8
1084273030,0.01,120.0,0.53,0.0,0,0,8
1084323797,0.01,120.0,0.0,0.0,0,0,8
1084375379,0.01,120.0,1.03,0.0,0,0,8
1084427303,0.01,120.0,1.03,0.0,0,0,8
1084477662,0.01,120.0,0.96,0.0,0,0,8
1084527740,0.01,120.0,0.96,0.0,0,0,8
1084579712,0.01,120.0,0.63,0.0,0,0,8
1084633039,0.01,120.0,0.98,0.0,0,0,8
1084683969,0.01,120.0,0.8,0.0,0,0,8
1084735406,0.01,120.0,1.07,0.0,0,0,8
1084787160,0.01,120.0,1.07,0.0,0,0,8
1084837674,0.01,120.0,1.3,0.0,0,0,8
1084888664,0.01,120.0,1.01,0.0,0,0,8
1084939854,0.01,120.0,1.17,0.0,0,0,8
1084989676,0.01,120.0,1.07,0.0,0,0,8
1085040652,0.01,120.0,1.35,0.0,0,0,8
1085092880,0.01,120.0,1.04,0.0,0,0,8
1085144313,0.01,120.0,1.13,0.0,0,0,8
1085195827,0.01,120.0,0.79,0.0,0,0,8
1085245660,0.01,120.0,1.17,0.0,0,0,8
1085297231,0.01,120.0,0.57,0.0,0,0,8
1085346676,0.01,120.0,0.76,0.0,0,0,8
1085397152,0.01,120.0,1.26,0.0,0,0,8
1085446687,0.01,120.0,0.64,0.0,0,0,8
1085497688,0.01,120.0,0.69,0.0,0,0,8
1085547666,0.01,120.0,1.43,0.0,0,0,8
1085598633,0.01,120.0,1.78,0.0,0,0,8
1085649804,0.01,120.0,0.84,0.0,0,0,8
1085699838,0.01,120.0,1.18,0.0,0,0,8
1085750646,0.01,120.0,1.28,0.0,0,0,8
1085800989,0.01,120.0,1.13,0.0,0,0,8
1085850759,0.01,120.0,1.07,0.0,0,0,8
1085901125,0.01,120.0,1.2,0.0,0,0,8
1085950681,0.01,120.0,0.56,0.0,0,0,8
1086001737,0.01,120.0,1.3,0.0,0,0,8
1086051629,0.01,120.0,1.43,0.0,0,0,8
1086102779,0.01,120.0,1.12,0.0,0,0,8
1086152754,0.01,120.0,1.21,0.0,0,0,8
1086205442,0.01,120.0,1.06,0.0,0,0,8
1086255986,0.01,120.0,1.42,0.0,0,0,8
1086306670,0.01,120.0,1.22,0.0,0,0,8
1086356900,0.01,120.0,1.25,0.0,0,0,8
1086407637,0.01,120.0,1.38,0.0,0,0,8
1086458824,0.01,120.0,1.33,0.0,0,0,8
1086510503,0.01,120.0,1.43,0.0,0,0,8
1086562593,0.01,120.0,1.24,0.0,0,0,8
1086612630,0.01,120.0,0.96,0.0,0,0,8
1086663640,0.01,120.0,1.23,0.0,0,0,8
1086716575,0.01,120.0,1.23,0.0,0,0,8
1086767436,0.01,120.0,1.29,0.0,0,0,8
1086818254,0.01,120.0,1.55,0.0,0,0,8
1086867680,0.01,120.0,1.15,0.0,0,0,8
1086918894,0.01,120.0,1.22,0.0,0,0,8
1086971396,0.01,120.0,1.27,0.0,0,0,8
1087023354,0.01,120.0,1.36,0.0,0,0,8
1087074839,0.01,120.0,1.36,0.0,0,0,8
1087124881,0.01,120.0,0.73,0.0,0,0,8
1087174753,0.01,120.0,1.16,0.0,0,0,8
1087227136,0.01,120.0,1.4,0.0,0,0,8
1087277714,0.01,120.0,1.18,0.0,0,0,8
1087328677,0.01,120.0,1.3,0.0,0,0,8
1087380787,0.01,120.0,1.39,0.0,0,0,8
1087432355,0.01,120.0,1.25,0.0,0,0,8
1087482672,0.01,120.0,1.41,0.0,0,0,8
1087532644,0.01,120.0,1.14,0.0,0,0,8
1087584199,0.01,120.0,1.1,0.0,0,0,8
1087633654,0.01,120.0,1.32,0.0,0,0,8
1087684658,0.01,120.0,1.36,0.0,0,0,8
